rank,model_key,model_label,vehicle_id,plate_no,price_manwon,predicted_price_manwon,residual_manwon,value_pct,origin_price_manwon,depreciation_pct,year,month,age_years,mileage_km,annual_km,region,trim,trim_detail,battery_years_left,battery_km_left,battery_remaining_pct,battery_binding,record_available,accident_free,accident_summary,accident_my_count,accident_other_count,accident_my_cost_won,owner_change_count,past_commercial_use,past_rental_count,insp_leak,insp_corrosion,insp_tire,insp_repair_notes,insp_repair_penalty,insp_worst_rank,insp_worst_status,baseline_manwon,fair_price_manwon,value_gap_manwon,value_gap_pct,value_gap_sigma,sigma_manwon,value_verdict,value_verdict_note,discount_priced_in,discount_extra,discount_extra_manwon,discount_unexplained_manwon,seller_option_claims,seller_text_len,insp_vin,vin_option_state,vin_option_manwon,vin_option_source,vin_option_verified_at,trim_key,trim_offset_manwon,battery_maker,battery_risk,battery_note,view_count,subscribe_count,view_per_day,listing_signal,listing_signal_note,discount_notes,insurance_gap_dealer,insurance_gap_personal,insurance_gap_unknown,first_advertised,days_on_market,days_on_market_basis,first_seen,last_seen,price_first_manwon,price_prev_manwon,price_change_manwon,price_change_count,insurance_not_joined,re_registered,loan_count,sample_only,sample_only_reason,origin_price_manwon,sell_type,page_is_image,price_breakdown,price_unknowns,score_points,insp_unclassified,battery_pack_damage,insp_diagnostics,repair_source,insp_mileage,mileage_gap_km,penalty_mileage_rollback,insp_waterlog,insp_recall,insp_recall_types,insp_comments,insp_needs_repair,insp_usage_change,insp_serious,insp_vin,accident_lines,accident_type_verdict,excluded,excluded_reason,use_history,plate_change_count,theft_count,record_fields_null,first_registration_date,age_basis,flood_or_total_loss,rental_or_commercial,one_owner,encar_diagnosed,page_available,repair_grade_source,page_repair_notes,page_repair_penalty,page_worst_rank,page_worst_status,page_unmatched_parts,page_status_unknown,page_ranks_read,page_mileage_gauge,page_mileage,page_vin_state,page_tuning,page_special_history,page_usage_change,page_recall,page_recall_done,page_accident_history,page_simple_repair,page_first_registration,page_inspection_valid,page_inspector_note,page_js_suspect,page_detail_bad,page_detail_unknown,page_ev_hv_bad,page_ev_hv_unknown,page_ev_hv_checked,page_parse_note,warranty,view_count,subscribe_count,score_value,score_battery,bonus_total,penalty_overrun,penalty_total,score_value,score_battery,score_depreciation,penalty_accident,score_stage2,score_total,market_confidence,detail_fetched,reasons_plus,reasons_minus,inspection_summary,options,photo_url,listing_url
1,eqe_suv_350,벤츠 EQE SUV,42553711,31너3783,5650,5954.1,-304.1,5.11,10990,48.6,2023,8,3.07,110762,36121,경기,EQE350 4MATIC,,4.93,49238,30.8,주행(16만km),True,True,무사고,0,0,0,1,False,,오일누유 / 미세누유 / 누유 / 냉각수누수 / 미세누수 / 누수 / 동력조향 작동 오일 누유 / 브레이크 마스터 실린더오일 누유 / 브레이크 오일 누유,,타이어,,,,,6409.0,6007.0,357.0,5.94,1.09,327.0,설명되지 않는 저평가,357만원이 싼데 그럴 만한 사유를 찾지 못했습니다 — 직접 확인해 볼 매물입니다,"과주행 +6.5만km=-455 ; 배터리 보증 잔여 부족 (31% · 기준 50% · 남은 4.9년 / 49,238km · 주행(16만km) 기준)=-147",,0.0,357.0,,1082,W1NGM1CB1PA012225,verified,200.0,mb.vin,2026-08-30,EQE350,231.0,CATL,normal,,1329,20,78.2,,,,,,,2026-08-14T14:31:39,17,,2026-08-30,2026-08-30,5650,,0,,,False,0,False,,10990,일반,False,"기준 시세 (동일 연식 · 평균주행 46,050km)=6,409 ||   ㄴ 위 기준 시세에 반영됨: EQE350 트림의 실측 시장 편차 · 배터리 CATL=+231 || 과주행 +6.5만km=-455 || 배터리 보증 잔여 부족 (31% · 기준 50% · 남은 4.9년 / 49,238km · 주행(16만km) 기준)=-147 || VIN 확인 옵션 (에어서스)=+200 || = 적정가=6,007",,45.84,,,,,110741,-21,-0.0,False,False,,비금속 또는 탈부착 가능한 부품은 점검사항에서 제외되며 중고차 특성상 부분적인 판금도색은 있을 수 있습니다.,"외장, 내장, 광택, 룸 클리링, 휠, 타이어, 유리",,,W1NGM1CB1PA012225,,사고 상세 없음,False,,2 | 1,0,0,flood_part_count,2023년 08월 07일,최초등록일 2023-08-07,False,False,True,True,True,,,0.0,,,,,5,양호,110741,양호,없음,없음,없음,해당없음,,없음,없음,2023년 08월 07일,2023년 08월 07일 ~ 2027년 08월 06일,성능 · 상태점검자,True,,,,,3,script 의 부위별 손상표에서 읽음 (init 의 data 가 null (수리 부위 없음)),,1329,20,26.81,6.16,17.0,-12.0,-12.0,26.81,6.16,7.87,-0.0,45.84,357.0,보통,True,"시세 대비 5.1% 저평가 (예측 5,954만원) ; 무사고 (보험이력 확인) ; 엔카진단 매물 ; 1인 소유","과주행 심함 (연 36,121km)",,,https://ci.encar.com/carpicture05/pic4255/42553711_,http://www.encar.com/dc/dc_cardetailview.do?carid=42553711
2,eqe_suv_350,벤츠 EQE SUV,42622715,64조1540,7790,8034.6,-244.6,3.04,11310,31.1,2025,5,1.31,16600,12631,서울,EQE350 4MATIC,,6.69,143400,83.6,기간(8년),True,True,무사고,0,0,0,0,False,,오일누유 / 미세누유 / 누유 / 냉각수누수 / 미세누수 / 누수 / 동력조향 작동 오일 누유 / 브레이크 마스터 실린더오일 누유 / 브레이크 오일 누유,,타이어,,,,,8013.0,8235.0,445.0,5.4,1.32,336.0,일부 설명됨,저평가 445만원 중 200만원은 위 사유로 설명되고 245만원이 남습니다 — 남은 만큼은 확인할 값어치가 있습니다,,자차보험 미가입 1구간 · 개인 소유 기간 (202605~202606) — 그 기간 사고는 보험기록에 없을 수 있음=-200,200.0,245.0,,1999,W1NGM1CB1SA058856,verified,200.0,mb.vin,2026-08-30,EQE350,238.0,CATL,normal,,42,1,10.5,,,,,202605~202606,,2026-08-27T14:58:28,4,,2026-08-30,2026-08-30,7790,,0,,202605~202606,False,0,False,,11310,일반,False,"기준 시세 (동일 연식 · 평균주행 19,650km)=8,013 ||   ㄴ 위 기준 시세에 반영됨: EQE350 트림의 실측 시장 편차 · 배터리 CATL=+238 || 주행거리 적음 -0.3만km=+22 || VIN 확인 옵션 (에어서스)=+200 || = 적정가=8,235",,54.81,,,,,16602,2,-0.0,False,False,,"중고차 특성상 부분적인 판금,도색이 있을 수 있습니다.(FRP 및 카본재질 판독불가 보증사항에서 제외됨)","외장, 내장, 광택, 룸 클리링, 휠, 타이어, 유리",,,W1NGM1CB1SA058856,,사고 상세 없음,False,,2 | 1,0,0,flood_part_count,2025년 05월 08일,최초등록일 2025-05-08,False,False,True,False,True,,,0.0,,,,,5,양호,16602,양호,없음,없음,없음,해당없음,,없음,없음,2025년 05월 08일,2025년 05월 08일 ~ 2030년 05월 07일,성능 · 상태점검자,True,,,,,3,script 의 부위별 손상표에서 읽음 (init 의 data 가 null (수리 부위 없음)),전국벤츠서비스센터,42,1,24.06,16.72,12.0,-0.0,-0.0,24.06,16.72,2.03,-0.0,54.81,445.0,보통,True,"배터리 보증 여유 (6.7년 / 143,400km 남음, 기간(8년) 기준) ; 무사고 (보험이력 확인) ; 1인 소유",,,,https://ci.encar.com/carpicture02/pic4262/42622715_,http://www.encar.com/dc/dc_cardetailview.do?carid=42622715
3,ix_xdrive50,BMW iX,42482603,354주4191,8850,9036.0,-186.0,2.06,14990,41.0,2023,12,2.69,19153,7123,부산,xDrive50 스포츠 플러스,,5.31,140847,66.4,기간(8년),True,True,무사고,0,0,0,1,False,,오일누유 / 미세누유 / 누유 / 냉각수누수 / 미세누수 / 누수 / 동력조향 작동 오일 누유 / 브레이크 마스터 실린더오일 누유 / 브레이크 오일 누유,,타이어,,,,,8833.0,9286.0,436.0,4.7,0.98,445.0,설명되지 않는 저평가,436만원이 싼데 그럴 만한 사유를 찾지 못했습니다 — 직접 확인해 볼 매물입니다,,,0.0,436.0,"에어서스펜션, 후륜조향",2399,WBY21CF09PCL53939,verified,250.0,bimmer.work,2026-08-30,XDRIVE50,,삼성SDI,low,국내 선호 제조사,3660,37,135.6,,,,,,,2026-08-04T11:11:29,27,,2026-08-30,2026-08-30,8850,,0,,,False,0,False,,14990,일반,False,"기준 시세 (동일 연식 · 평균주행 40,350km)=8,833 || 주행거리 적음 -2.1만km=+203 || VIN 확인 옵션 (에어서스 + 후륜조향)=+250 || = 적정가=9,286",,53.36,,,,,19163,10,-0.0,False,True,"1, 이행","비금속(FRP 플라스틱)의 탈부착 가능 부품은 점검사항에서 제외되며 중고차 특성 상 부분적인 판금,도색 및 차량의 노후화에 따른 자연스러운 부식이 있을 수 있습니다. 기능상 영향없는 감각적 손해(소음/진동/냄새/외관/작동감각 등) 보증제외.","외장, 내장, 광택, 룸 클리링, 휠, 타이어, 유리",,,WBY21CF09PCL53939,,사고 상세 없음,False,,2 | 1,0,0,flood_part_count,2023년 12월 23일,최초등록일 2023-12-23,False,False,True,False,True,,,0.0,,,,,5,양호,19163,양호,없음,없음,없음,해당,이행,없음,없음,2023년 12월 23일,2024년 02월 23일 ~ 2028년 02월 22일,성능 · 상태점검자,True,,,,,3,script 의 부위별 손상표에서 읽음 (init 의 data 가 null (수리 부위 없음)),BMW코리아,3660,37,22.74,13.28,12.0,-0.0,-0.0,22.74,13.28,5.33,-0.0,53.36,436.0,보통,True,"배터리 보증 여유 (5.3년 / 140,847km 남음, 기간(8년) 기준) ; 무사고 (보험이력 확인) ; 1인 소유",,,,https://ci.encar.com/carpicture08/pic4248/42482603_,http://www.encar.com/dc/dc_cardetailview.do?carid=42482603
4,ix_xdrive50,BMW iX,42619399,35모7192,9700,10151.5,-451.5,4.45,15200,36.2,2024,12,1.51,31000,20512,서울,xDrive50 스포츠 플러스,,6.49,129000,80.6,주행(16만km),True,True,무사고,0,0,0,1,False,,,,,,,,,10233.0,10152.0,452.0,4.45,1.0,452.0,일부 설명됨,저평가 452만원 중 409만원은 위 사유로 설명되고 43만원이 남습니다 — 남은 만큼은 확인할 값어치가 있습니다,과주행 +0.8만km=-81,성능기록부가 사진뿐 — 수리 부위·고전원전기장치를 확인할 수 없음=-153 ; 자차보험 미가입 1구간 · 개인 소유 기간 (202507~202508) — 그 기간 사고는 보험기록에 없을 수 있음=-256,409.0,43.0,"에어서스펜션, 후륜조향",1143,,unverified,,,,XDRIVE50,,삼성SDI,low,국내 선호 제조사,245,1,61.2,,,,,202507~202508,,2026-08-27T21:35:07,4,,2026-08-30,2026-08-30,9700,,0,,202507~202508,False,0,False,,15200,일반,True,"기준 시세 (동일 연식 · 평균주행 22,650km)=10,233 || 과주행 +0.8만km=-81 || = 적정가=10,152","고전원전기장치 판정 불가: 충전구 절연 상태(항목 없음), 구동축전지 격리 상태(항목 없음), 고전원전기배선 상태(항목 없음)",57.78,,,,,,,-0.0,,,,,,,,,,사고 상세 없음,False,,2 | 1,0,0,flood_part_count,2025-02-25,최초등록일 2025-02-25,False,False,True,False,True,,,,,,,,0,,,,,,,,,,,,,,False,,,,"충전구 절연 상태(항목 없음), 구동축전지 격리 상태(항목 없음), 고전원전기배선 상태(항목 없음)",0,성능기록부가 사진(이미지)으로만 등록된 매물입니다 — 페이지에서 읽어 낼 수 있는 항목이 없습니다,,245,1,25.93,16.12,12.0,-0.0,-0.0,25.93,16.12,3.73,-0.0,57.78,452.0,보통,True,"배터리 보증 여유 (6.5년 / 129,000km 남음, 주행(16만km) 기준) ; 무사고 (보험이력 확인) ; 1인 소유",주행거리 계기상태 판정 불가 (성능기록부 표기 확인 필요),,,https://ci.encar.com/carpicture01/pic4261/42619399_,http://www.encar.com/dc/dc_cardetailview.do?carid=42619399
5,ix_xdrive50,BMW iX,42529848,55구4190,9890,10177.0,-287.0,2.82,15200,34.9,2024,12,1.72,8184,4759,서울,xDrive50 스포츠 플러스,,6.28,151816,78.5,기간(8년),True,True,무사고,0,0,0,2,False,,오일누유 / 미세누유 / 누유 / 냉각수누수 / 미세누수 / 누수 / 동력조향 작동 오일 누유 / 브레이크 마스터 실린더오일 누유 / 브레이크 오일 누유,"비금속 또는 탈부착 가능 부품은 점검사항에서 제외되며 중고차 특성상 부분적인 판금, 도색, 부식은 있을 수 있습니다.",타이어,,,,,10006.0,10327.0,437.0,4.23,0.97,452.0,일부 설명됨,저평가 437만원 중 250만원은 위 사유로 설명되고 187만원이 남습니다 — 남은 만큼은 확인할 값어치가 있습니다,소유자 변경 2회=-100,자차보험 미가입 1구간 · 개인 소유 기간 (202509~202605) — 그 기간 사고는 보험기록에 없을 수 있음=-250,250.0,187.0,,1055,WBY21CF04RCS71460,verified,250.0,bimmer.work,2026-08-30,XDRIVE50,,삼성SDI,low,국내 선호 제조사,836,5,44.0,,,,,202509~202605,,2026-08-12T14:07:32,19,,2026-08-30,2026-08-30,9990,9990,-100,,202509~202605,False,0,False,,15200,일반,False,"기준 시세 (동일 연식 · 평균주행 25,800km)=10,006 || 주행거리 적음 -1.8만km=+171 || 소유자 변경 2회=-100 || VIN 확인 옵션 (에어서스 + 후륜조향)=+250 || = 적정가=10,327",세부상태 판정 불가: 냉각수누수(txt_state 에 on/active 가 없음 (판정 불가)),55.76,,,,,8182,-2,-0.0,False,False,,"비금속 또는 탈부착 가능 부품은 점검사항에서 제외되며 중고차 특성상 부분적인 판금, 도색, 부식은 있을 수 있습니다.","외장, 내장, 광택, 룸 클리링, 휠, 타이어, 유리",,,WBY21CF04RCS71460,,사고 상세 없음,False,,2 | 2 | 1 | 1,1,0,flood_part_count,2024년 12월 11일,최초등록일 2024-12-11,False,False,False,True,True,,,0.0,,,,,5,양호,8182,양호,없음,없음,없음,해당없음,,없음,없음,2024년 12월 11일,2025년 02월 11일 ~ 2030년 02월 10일,성능 · 상태점검자,True,,냉각수누수(txt_state 에 on/active 가 없음 (판정 불가)),,,3,script 의 부위별 손상표에서 읽음 (init 의 data 가 null (수리 부위 없음)),BMW공식,836,5,23.76,15.7,13.0,-0.0,-0.0,23.76,15.7,3.3,-0.0,55.76,437.0,보통,True,"배터리 보증 여유 (6.3년 / 151,816km 남음, 기간(8년) 기준) ; 무사고 (보험이력 확인) ; 엔카진단 매물",,,,https://ci.encar.com/carpicture02/pic4252/42529848_,http://www.encar.com/dc/dc_cardetailview.do?carid=42529848
6,eqe_suv_350,벤츠 EQE SUV,42297429,176라7036,7890,8147.0,-257.0,3.15,11310,30.2,2025,8,1.08,23196,21448,대구,EQE350 4MATIC,,6.92,136804,85.5,주행(16만km),True,True,무사고,0,0,0,0,False,,,,,,,,,8198.0,8147.0,257.0,3.15,0.76,336.0,일부 설명됨,저평가 257만원 중 123만원은 위 사유로 설명되고 134만원이 남습니다 — 남은 만큼은 확인할 값어치가 있습니다,과주행 +0.7만km=-51,성능기록부가 사진뿐 — 수리 부위·고전원전기장치를 확인할 수 없음=-123,123.0,134.0,,2690,,unverified,,,,EQE350,238.0,CATL,normal,,1040,14,17.3,기회 — 노출 부족,하루 17회 조회(중앙값 34회)로 60일째입니다. 사람들이 본 뒤 지나친 게 아니라 아예 못 본 쪽에 가깝습니다.,,,,,2026-07-02T14:54:47,60,,2026-08-30,2026-08-30,7890,,0,,,False,0,False,,11310,일반,True,"기준 시세 (동일 연식 · 평균주행 16,200km)=8,198 ||   ㄴ 위 기준 시세에 반영됨: EQE350 트림의 실측 시장 편차 · 배터리 CATL=+238 || 과주행 +0.7만km=-51 || = 적정가=8,147","고전원전기장치 판정 불가: 충전구 절연 상태(항목 없음), 구동축전지 격리 상태(항목 없음), 고전원전기배선 상태(항목 없음)",55.04,,,,,,,-0.0,,,,,,,,,,사고 상세 없음,False,,2 | 1,0,0,flood_part_count,2025-08-01,최초등록일 2025-08-01,False,False,True,False,True,,,,,,,,0,,,,,,,,,,,,,,False,,,,"충전구 절연 상태(항목 없음), 구동축전지 격리 상태(항목 없음), 고전원전기배선 상태(항목 없음)",0,성능기록부가 사진(이미지)으로만 등록된 매물입니다 — 페이지에서 읽어 낼 수 있는 항목이 없습니다,벤츠,1040,14,24.21,17.1,12.0,-0.0,-0.0,24.21,17.1,1.73,-0.0,55.04,257.0,보통,True,"배터리 보증 여유 (6.9년 / 136,804km 남음, 주행(16만km) 기준) ; 무사고 (보험이력 확인) ; 1인 소유",주행거리 계기상태 판정 불가 (성능기록부 표기 확인 필요),,,https://ci.encar.com/carpicture09/pic4229/42297429_,http://www.encar.com/dc/dc_cardetailview.do?carid=42297429
7,ix_xdrive50,BMW iX,42570391,17러5772,7950,8236.7,-286.7,3.48,14990,47.0,2023,8,3.07,65913,21437,인천,xDrive50 스포츠 플러스,,4.93,94087,58.8,주행(16만km),True,False,"내차 피해 1건 / 타차 가해 1건 / 내차 수리비 50~200만원 (1,278,161원)",1,1,1278161,0,False,,오일누유 / 미세누유 / 누유 / 냉각수누수 / 미세누수 / 누수 / 동력조향 작동 오일 누유 / 브레이크 마스터 실린더오일 누유 / 브레이크 오일 누유,,타이어,,,,,8427.0,8109.0,159.0,1.96,0.36,445.0,할인 이유 충분,저평가 159만원이 위 사유 169만원으로 설명됩니다 — 진짜 저평가로 보기 어렵습니다,과주행 +2.0만km=-191 ; 사고이력 내차 1건 / 타차 1건 · 수리비 128만원=-128,사고는 있으나 수리 부위를 확인할 수 없음=-169,169.0,-10.0,,360,WBY21CF07PCM62674,verified_none,,bimmer.work,2026-08-30,XDRIVE50,,삼성SDI,low,국내 선호 제조사,1125,4,93.8,주의 — 보고 실망,"조회 1,125회에 찜 4개(비율 0.36%, 중앙값 0.73%) — 보고 나서 관심을 접은 사람이 많다는 신호입니다.",,,,,2026-08-19T13:45:10,12,,2026-08-30,2026-08-30,7950,,0,,,False,0,False,,14990,일반,False,"기준 시세 (동일 연식 · 평균주행 46,050km)=8,427 || 과주행 +2.0만km=-191 || 사고이력 내차 1건 / 타차 1건 · 수리비 128만원=-128 || = 적정가=8,109","사고는 있으나 수리 부위를 모릅니다 (점검자 코멘트에 부위 언급 없음) ; VIN 으로 확인했고 에어서스·후륜조향이 없습니다 (감점하지 않았습니다 — 기준 시세선에 이미 섞여 있음) ; 세부상태 판정 불가: 변속기(txt_state 에 on/active 가 없음 (판정 불가)), 연료누출(txt_state 에 on/active 가 없음 (판정 불가))",41.23,,,,,65911,-2,-0.0,False,True,"1, 이행","전기 부품 품목 보증확인요,","외장, 내장, 광택, 룸 클리링, 휠, 타이어, 유리",,,WBY21CF07PCM62674,"2026-06-23 타차 가해 보험금 184,893원 | 2023-12-31 내차 피해(부분) 보험금 1,642,091원 (부품 222,500원, 공임 307,817원, 도장 747,844원)",검증됨 (내차 1건 / 타차 1건 일치),False,,2 | 1,0,0,flood_part_count,2023년 08월 04일,최초등록일 2023-08-04,False,False,True,True,True,,,0.0,,,,,5,양호,65911,양호,없음,없음,없음,해당,이행,없음,없음,2023년 08월 04일,2023년 08월 04일 ~ 2027년 08월 03일,성능 · 상태점검자,True,,"변속기(txt_state 에 on/active 가 없음 (판정 불가)), 연료누출(txt_state 에 on/active 가 없음 (판정 불가))",,,3,script 의 부위별 손상표에서 읽음 (init 의 data 가 null (수리 부위 없음)),,1125,4,24.64,11.76,9.0,-0.0,-11.5,24.64,11.76,7.33,-11.5,41.23,159.0,보통,True,"배터리 보증 여유 (4.9년 / 94,087km 남음, 주행(16만km) 기준) ; 엔카진단 매물 ; 1인 소유","사고이력: 내차 피해 1건 / 타차 가해 1건 / 내차 수리비 50~200만원 (1,278,161원) ;   · 2026-06-23 타차 가해 보험금 184,893원 ;   · 2023-12-31 내차 피해(부분) 보험금 1,642,091원 (부품 222,500원, 공임 307,817원, 도장 747,844원)",,,https://ci.encar.com/carpicture07/pic4257/42570391_,http://www.encar.com/dc/dc_cardetailview.do?carid=42570391
8,eqe_suv_350,벤츠 EQE SUV,41333360,36로6577,7600,7715.9,-115.9,1.5,10990,30.8,2024,12,1.55,6500,4201,서울,EQE350 4MATIC,,6.45,153500,80.7,기간(8년),True,True,무사고,0,0,0,0,False,,,,,,,,,7598.0,7716.0,116.0,1.5,0.35,327.0,할인 이유 충분,저평가 116만원이 위 사유 228만원으로 설명됩니다 — 진짜 저평가로 보기 어렵습니다,,성능기록부가 사진뿐 — 수리 부위·고전원전기장치를 확인할 수 없음=-114 ; 3개월 이상 미판매 (170일째) — 협상 여지이자 남들이 지나쳤다는 신호=-114,228.0,-112.0,,1223,,unverified,,,,EQE350,231.0,CATL,normal,,5237,80,30.8,,,,,,,2026-03-14T11:51:35,170,,2026-08-30,2026-08-30,7600,,0,,,False,0,False,,10990,일반,True,"기준 시세 (동일 연식 · 평균주행 23,250km)=7,598 ||   ㄴ 위 기준 시세에 반영됨: EQE350 트림의 실측 시장 편차 · 배터리 CATL=+231 || 주행거리 적음 -1.7만km=+118 || = 적정가=7,716","고전원전기장치 판정 불가: 충전구 절연 상태(항목 없음), 구동축전지 격리 상태(항목 없음), 고전원전기배선 상태(항목 없음)",52.08,,,,,,,-0.0,,,,,,,,,,사고 상세 없음,False,,2 | 1,0,0,flood_part_count,2025-02-12,최초등록일 2025-02-12,False,False,True,False,True,,,,,,,,0,,,,,,,,,,,,,,False,,,,"충전구 절연 상태(항목 없음), 구동축전지 격리 상태(항목 없음), 고전원전기배선 상태(항목 없음)",0,성능기록부가 사진(이미지)으로만 등록된 매물입니다 — 페이지에서 읽어 낼 수 있는 항목이 없습니다,가능,5237,80,22.0,16.14,12.0,-0.0,-0.0,22.0,16.14,1.93,-0.0,52.08,116.0,보통,True,"배터리 보증 여유 (6.5년 / 153,500km 남음, 기간(8년) 기준) ; 무사고 (보험이력 확인) ; 1인 소유",주행거리 계기상태 판정 불가 (성능기록부 표기 확인 필요),,,https://ci.encar.com/carpicture03/pic4133/41333360_,http://www.encar.com/dc/dc_cardetailview.do?carid=41333360
9,eqe_suv_350,벤츠 EQE SUV,42405639,278오2149,7300,7539.8,-239.8,3.18,10990,33.6,2024,12,1.66,20959,12590,경남,EQE350 4MATIC,,6.34,139041,79.2,기간(8년),True,False,"내차 피해 1건 / 내차 수리비 200~500만원 (2,060,525원)",1,0,2060525,0,False,,오일누유 / 미세누유 / 누유 / 냉각수누수 / 미세누수 / 누수 / 동력조향 작동 오일 누유 / 브레이크 마스터 실린더오일 누유 / 브레이크 오일 누유,,타이어,,,,,7512.0,7334.0,34.0,0.46,0.1,327.0,할인 이유 충분,저평가 34만원이 위 사유 150만원으로 설명됩니다 — 진짜 저평가로 보기 어렵습니다,사고이력 내차 1건 / 타차 0건 · 수리비 206만원=-206,사고는 있으나 수리 부위를 확인할 수 없음=-150,150.0,-116.0,,2663,W1NGM1CB2RA048797,unverified,,,,EQE350,231.0,CATL,normal,,451,2,11.0,기회 — 노출 부족,하루 11회 조회(중앙값 34회)로 41일째입니다. 사람들이 본 뒤 지나친 게 아니라 아예 못 본 쪽에 가깝습니다.,,,,,2026-07-21T17:26:54,41,,2026-08-30,2026-08-30,7300,,0,,,False,0,False,,10990,일반,False,"기준 시세 (동일 연식 · 평균주행 24,900km)=7,512 ||   ㄴ 위 기준 시세에 반영됨: EQE350 트림의 실측 시장 편차 · 배터리 CATL=+231 || 주행거리 적음 -0.4만km=+28 || 사고이력 내차 1건 / 타차 0건 · 수리비 206만원=-206 || = 적정가=7,334",사고는 있으나 수리 부위를 모릅니다 (점검자 코멘트에 부위 언급 없음),28.95,,,,,20941,-18,-0.0,False,False,,,"외장, 내장, 광택, 룸 클리링, 휠, 타이어, 유리",,,W1NGM1CB2RA048797,"2025-08-17 내차 피해(부분) 보험금 2,260,000원 (부품 1,828,125원, 공임 232,400원)",검증됨 (내차 1건 / 타차 0건 일치),False,,2 | 1,0,0,flood_part_count,2024년 12월 31일,최초등록일 2024-12-31,False,False,True,False,True,,,0.0,,,,,5,양호,20941,양호,없음,없음,없음,해당없음,,없음,없음,2024년 12월 31일,2025년 03월 31일 ~ 2030년 03월 30일,성능 · 상태점검자,True,,,,,3,script 의 부위별 손상표에서 읽음 (init 의 data 가 null (수리 부위 없음)),,451,2,24.24,15.84,4.0,-0.0,-18.0,24.24,15.84,2.87,-18.0,28.95,34.0,보통,True,"배터리 보증 여유 (6.3년 / 139,041km 남음, 기간(8년) 기준) ; 1인 소유","사고이력: 내차 피해 1건 / 내차 수리비 200~500만원 (2,060,525원) ;   · 2025-08-17 내차 피해(부분) 보험금 2,260,000원 (부품 1,828,125원, 공임 232,400원)",,,https://ci.encar.com/carpicture10/pic4240/42405639_,http://www.encar.com/dc/dc_cardetailview.do?carid=42405639
10,eqe_suv_350,벤츠 EQE SUV,41989964,106모2367,7780,7798.0,-18.0,0.23,10990,29.2,2024,12,1.33,16000,12000,울산,EQE350 4MATIC,,6.67,144000,83.3,기간(8년),True,True,무사고,0,0,0,0,False,,,,,,,,,7770.0,7798.0,18.0,0.23,0.05,327.0,할인 이유 충분,저평가 18만원이 위 사유 233만원으로 설명됩니다 — 진짜 저평가로 보기 어렵습니다,,성능기록부가 사진뿐 — 수리 부위·고전원전기장치를 확인할 수 없음=-117 ; 3개월 이상 미판매 (114일째) — 협상 여지이자 남들이 지나쳤다는 신호=-117,233.0,-215.0,,1861,,unverified,,,,EQE350,231.0,CATL,normal,,1903,18,16.7,기회 — 노출 부족,하루 17회 조회(중앙값 34회)로 114일째입니다. 사람들이 본 뒤 지나친 게 아니라 아예 못 본 쪽에 가깝습니다.,,,,,2026-05-09T13:24:23,114,,2026-08-30,2026-08-30,7780,,0,,,False,0,False,,10990,일반,True,"기준 시세 (동일 연식 · 평균주행 19,950km)=7,770 ||   ㄴ 위 기준 시세에 반영됨: EQE350 트림의 실측 시장 편차 · 배터리 CATL=+231 || 주행거리 적음 -0.4만km=+28 || = 적정가=7,798","고전원전기장치 판정 불가: 충전구 절연 상태(항목 없음), 구동축전지 격리 상태(항목 없음), 고전원전기배선 상태(항목 없음)",50.37,,,,,,,-0.0,,,,,,,,,,사고 상세 없음,False,,2 | 1,0,0,flood_part_count,2025-05-01,최초등록일 2025-05-01,False,False,True,False,True,,,,,,,,0,,,,,,,,,,,,,,False,,,,"충전구 절연 상태(항목 없음), 구동축전지 격리 상태(항목 없음), 고전원전기배선 상태(항목 없음)",0,성능기록부가 사진(이미지)으로만 등록된 매물입니다 — 페이지에서 읽어 낼 수 있는 항목이 없습니다,,1903,18,20.31,16.66,12.0,-0.0,-0.0,20.31,16.66,1.4,-0.0,50.37,18.0,보통,True,"배터리 보증 여유 (6.7년 / 144,000km 남음, 기간(8년) 기준) ; 무사고 (보험이력 확인) ; 1인 소유",주행거리 계기상태 판정 불가 (성능기록부 표기 확인 필요),,,https://ci.encar.com/carpicture08/pic4198/41989964_,http://www.encar.com/dc/dc_cardetailview.do?carid=41989964
